id,type,label,subClassOf,domain,range,@type,seeAlso,comment
,rdfs:seeAlso,,http://www.w3.org/TR/json-ld11,,,,,
jsonld,prefix,,http://www.w3.org/ns/json-ld#,,,,,
rdf,prefix,,http://www.w3.org/1999/02/22-rdf-syntax-ns#,,,,,
rdfs,prefix,,http://www.w3.org/2000/01/rdf-schema#,,,,,
xsd,prefix,,http://www.w3.org/2001/XMLSchema#,,,,,
Context,rdfs:Class,Context,,,,,https://www.w3.org/TR/json-ld11/#context-definitions,Defines term definitions and other aspects of a JSON-LD `Context`.
ExpandedTermDefinition,rdfs:Class,Expanded Term Definition,,,,,https://www.w3.org/TR/json-ld11/#dfn-expanded-term-definitions,"An [expanded term definition](https://www.w3.org/TR/json-ld11/#dfn-expanded-term-definitions), is a [term definition](#TermDefinition) where the value is a dictionary containing one or more keyword keys to define the associated absolute IRI, if this is a reverse property, the type associated with string values, and a container mapping."
TermDefinition,rdfs:Class,Term Definition,TermDefinition,,,,https://www.w3.org/TR/json-ld11/#dfn-term-definitions,"A [term definition](http://www.w3.org/TR/json-ld11/#dfn-term-definitions) is an entry in a [context](#Context), where the key defines a term which may be used within a dictionary as a key, type, or elsewhere that a string is interpreted as a vocabulary item. Its value is either a string ([simple term definition](http://www.w3.org/TR/json-ld11/#dfn-simple-term-definitions)), expanding to an absolute IRI, or an [Expanded Term Definition](#ExpandedTermDefinition)."
base,rdf:Property,base,,Context,,@id,https://www.w3.org/TR/json-ld11/#context-definitions,"If the [context definition](https://www.w3.org/TR/json-ld11/#dfn-context-definition) has an `@base` key, its value MUST be an _absolute IRI_, a _relative IRI_, or `null`."
container,rdf:Property,container,,ExpandedTermDefinition,ContainerType,,https://www.w3.org/TR/json-ld11/#context-definitions,The associated `@container` value in an Expanded Term Definition.
context,rdf:Property,context,,"rdfs:Resource,ExpandedTermDefinition",Context,@id,http://www.w3.org/TR/json-ld11/#interpreting-json-as-json-ld,"As an IRI, this link relation is used to reference a JSON-LD context from a JSON document so that it can be interpreted as JSON-LD. As a Context, defines an inline `context definition`."
definition,rdf:Property,definition,,Context,TermDefinition,,,Term definition(s) associated with this context.
iri,rdf:Property,iri,,TermDefinition,,,,The `@id` mapping of a [term definition](#TermDefinition).
prefix,rdf:Property,prefix,,ExpandedTermDefinition,xsd:boolean,,https://www.w3.org/TR/json-ld11/#context-definitions,"With the value `true`, allows this term to be used to construct a compact IRI when compacting."
version,rdf:Property,version,,Context,xsd:decimal,,https://www.w3.org/TR/json-ld11/#dfn-processing-mode,"The [processing mode](https://www.w3.org/TR/json-ld11/#dfn-processing-mode) defines how a JSON-LD document is processed. By default, all documents are assumed to be conformant with [JSON-LD 1.0](http://www.w3.org/TR/json-ld-syntax). By defining a different version using the `@version` member in a [context](#Context), or via explicit API option, other processing modes can be accessed. This specification defines extensions for the `json-ld-1.1` processing mode."
vocab,rdf:Property,vocab,,Context,,@id,https://www.w3.org/TR/json-ld11/#default-vocabulary,Used to expand properties and values in `@type` with a common prefix IRI.
language,"rdf:Property,ContainerType",language,,"Context,ExpandedTermDefinition",xsd:string,,https://www.w3.org/TR/json-ld11/#default-language,The default language is set in the context using the @language key whose value MUST be a string representing a [BCP47] language code or null.
reverse,"rdf:Property,ContainerType",reverse,,ExpandedTermDefinition,,,https://www.w3.org/TR/json-ld11/#reverse-properties,The `@reverse` mapping of an [expanded term definition](#ExpandedTermDefinition).
term,rdf:Property,term,,TermDefinition,xsd:string,,,The term associated with a [term definition](#TermDefinition).
type,"rdf:Property,ContainerType",type,,ExpandedTermDefinition,,@id,https://www.w3.org/TR/json-ld11/#context-definitions,"If the [expanded term definition](#ExpandedTermDefinition) contains the `@type` keyword, its value MUST be an _absolute IRI_, a _compact IRI_, a _term_, `null`, or one of the keywords `@id` or `@vocab`."
